Episode,Timestep,Reward,Loss,WinRate,Epsilon
328,6514,62.00,3.082678,35.67,0.0100
329,6531,-16.00,2.994159,35.56,0.0100
330,6553,59.83,3.166418,35.76,0.0100
331,6558,-29.00,2.685764,35.65,0.0100
332,6580,58.50,3.039919,35.84,0.0100
333,6604,63.50,3.174753,36.04,0.0100
334,6623,-17.00,2.929877,35.93,0.0100
335,6643,59.67,2.987085,36.12,0.0100
336,6660,-18.00,2.771054,36.01,0.0100
337,6691,67.33,3.601485,36.20,0.0100
338,6705,-22.00,3.879261,36.09,0.0100
339,6717,-14.00,3.264609,35.99,0.0100
340,6735,-21.00,3.350820,35.88,0.0100
341,6766,64.33,3.625563,36.07,0.0100
342,6786,-19.00,3.445375,35.96,0.0100
343,6807,-16.00,3.301945,35.86,0.0100
344,6828,-20.00,3.020557,35.76,0.0100
345,6856,65.17,3.017284,35.94,0.0100
346,6861,-29.00,3.264278,35.84,0.0100
347,6883,62.50,3.244356,36.02,0.0100
348,6903,-19.00,3.530134,35.92,0.0100
349,6919,58.17,3.693786,36.10,0.0100
350,6943,64.00,3.127287,36.29,0.0100
351,6965,-16.00,3.545381,36.18,0.0100
352,6980,-16.00,3.254436,36.08,0.0100
353,6994,54.33,3.336187,36.26,0.0100
354,7018,62.33,3.189003,36.44,0.0100
355,7039,61.67,3.236593,36.62,0.0100
356,7061,-16.00,3.374223,36.52,0.0100
357,7080,-21.00,3.006596,36.41,0.0100
358,7111,65.33,3.562438,36.59,0.0100
359,7134,-7.00,3.492495,36.49,0.0100
360,7162,68.17,3.387663,36.67,0.0100
361,7182,-17.00,3.520443,36.57,0.0100
362,7192,54.17,3.557106,36.74,0.0100
363,7206,-23.00,4.275156,36.64,0.0100
364,7227,-9.00,3.524147,36.54,0.0100
365,7258,66.67,3.473271,36.71,0.0100
366,7280,-16.00,3.558966,36.61,0.0100
367,7305,-6.00,3.802978,36.51,0.0100
368,7314,-27.00,3.873624,36.41,0.0100
369,7342,66.67,3.824098,36.59,0.0100
370,7361,-17.00,3.489327,36.49,0.0100
371,7383,-14.00,3.463982,36.39,0.0100
372,7403,-16.00,3.101661,36.29,0.0100
373,7424,-18.00,3.127556,36.19,0.0100
374,7450,63.67,3.710265,36.36,0.0100
375,7472,-20.00,4.094009,36.27,0.0100
376,7479,-28.00,4.779456,36.17,0.0100
377,7492,55.67,3.829553,36.34,0.0100
378,7516,61.67,3.528155,36.51,0.0100
379,7533,-23.00,3.946108,36.41,0.0100
380,7558,66.33,3.848675,36.58,0.0100
381,7577,-17.00,3.864404,36.48,0.0100
382,7599,-18.00,3.753202,36.39,0.0100
383,7619,-16.00,3.880336,36.29,0.0100
384,7651,70.33,3.782178,36.46,0.0100
385,7673,-20.00,3.621242,36.36,0.0100
386,7702,65.50,3.946497,36.53,0.0100
387,7722,-17.00,4.116814,36.43,0.0100
388,7741,58.33,3.992718,36.60,0.0100
389,7758,-16.00,3.683829,36.50,0.0100
390,7789,68.50,3.876466,36.67,0.0100
391,7819,65.67,3.451009,36.83,0.0100
392,7846,62.50,3.761510,36.99,0.0100
393,7866,-15.00,3.835076,36.90,0.0100
394,7872,-28.00,3.681800,36.80,0.0100
395,7900,63.17,3.826138,36.96,0.0100
396,7911,-15.00,4.034795,36.87,0.0100
397,7942,66.00,3.677409,37.03,0.0100
398,7966,62.00,3.707317,37.19,0.0100
399,7977,-26.00,4.021352,37.09,0.0100
400,7986,-27.00,3.450138,37.00,0.0100
401,8005,59.00,3.437613,37.16,0.0100
402,8025,-17.00,4.146785,37.06,0.0100
403,8056,58.50,4.100738,37.22,0.0100
404,8072,-22.00,4.428424,37.13,0.0100
405,8098,64.83,4.295023,37.28,0.0100
406,8115,-22.00,3.919519,37.19,0.0100
407,8132,-21.00,4.085662,37.10,0.0100
408,8161,68.33,4.071639,37.25,0.0100
409,8181,-17.00,4.179647,37.16,0.0100
410,8209,65.67,3.675620,37.32,0.0100
411,8229,-15.00,4.108518,37.23,0.0100
412,8257,63.00,3.646864,37.38,0.0100
413,8290,62.83,4.085210,37.53,0.0100
414,8298,-28.00,4.411201,37.44,0.0100
415,8314,58.17,3.636054,37.59,0.0100
416,8346,-8.00,3.945370,37.50,0.0100
417,8358,-23.00,4.220177,37.41,0.0100
418,8383,62.50,4.138983,37.56,0.0100
419,8405,-18.00,3.940512,37.47,0.0100
420,8424,-8.00,4.331660,37.38,0.0100
421,8455,67.83,4.316866,37.53,0.0100
422,8482,63.00,4.791669,37.68,0.0100
423,8496,-22.00,4.101816,37.59,0.0100
424,8514,-21.00,4.544460,37.50,0.0100
425,8523,-18.00,4.468419,37.41,0.0100
426,8549,-16.00,4.181911,37.32,0.0100
427,8569,61.33,4.142669,37.47,0.0100
428,8580,-23.00,4.188838,37.38,0.0100
429,8611,69.50,3.948705,37.53,0.0100
430,8637,-6.00,4.194113,37.44,0.0100
431,8656,58.50,4.460157,37.59,0.0100
432,8673,-23.00,5.157240,37.50,0.0100
433,8685,-14.00,4.208069,37.41,0.0100
434,8704,58.67,4.811344,37.56,0.0100
435,8727,-5.00,4.458621,37.47,0.0100
436,8760,-3.00,4.114020,37.39,0.0100
437,8776,59.67,4.085685,37.53,0.0100
438,8806,66.67,4.440459,37.67,0.0100
439,8826,-22.00,4.398801,37.59,0.0100
440,8844,-19.00,4.621489,37.50,0.0100
